customer_id,email,created_at,country,status,ingest_date
c00000,user0@example.com,2025-08-03T00:00:00+00:00,india,,2099-01-01
c00000,user0@example.com,not a date,india,,2099-01-01
c00001,user1@example.com,2025-09-17T02:00:00+00:00,,active,2025-12-20
c00002,user2@example.com,2025-03-09 19:00:00,india,inactive,2099-01-01
c00003,user3@example.com,2025-10-02 12:00:00,GB,,2099-01-01
c00004,user4@example.com,2025-07-16 01:00:00,IN,actve,2025-12-20
c00005,user5@example.com,2025-08-10 15:00:00,US,banned,2025-12-20
c00006,user6@example.com,2025-07-19 12:00:00,United States,active,2025-12-20
c00007,user7@example.com,2025-09-08 07:00:00,GB,,2025-12-20
c00008,user8@example.com,2025-06-23 03:00:00,uk,,2099-01-01
c00009,user9@example.com,2025-04-07 11:00:00,N/A,inactive,2025-12-20
c00010,user10@example.com,2025-03-25 04:00:00,india,,2025-12-20
c00011,user11@example.com,2025-05-10 22:00:00,BR,,2025-12-20
c00012,user12@example.com,2025-10-19 16:00:00,GB,,2099-01-01
c00013,user13@example.com,2025-02-05 06:00:00,usa,ACTIVE,2025-12-20
c00014,user14@example.com,2025-04-11 20:00:00,US,inactive,2025-12-20
c00015,user15@example.com,2025-08-12 12:00:00,india,active,2025-12-20
c00016,user16@example.com,2025-06-29T21:00:00+00:00,GB,ACTIVE,2025-12-20
c00017,user17@example.com,2025-05-07T22:00:00+00:00,United States,actve,2025-12-20
c00018,user18@example.com,2025-03-10T01:00:00+00:00,United States,ACTIVE,2099-01-01
c00019,user19@example.com,2025-01-06T18:00:00+00:00,usa,,2025-12-20
c00020,user20example.com,2025-04-28 00:00:00,usa,active,2025-12-20
c00020,user20example.com,not a date,usa,active,2025-12-20
c00021,user21@example.com,2025-04-29T05:00:00+00:00,N/A,active,2025-12-20
c00022,user22@example.com,2025-10-17T22:00:00+00:00,,inactive,2099-01-01
c00023,user23@example.com,2025-02-23 14:00:00,,,2025-12-20
c00024,user24@example.com,2025-03-23 13:00:00,uk,ACTIVE,2099-01-01
c00025,user25example.com,2025-10-01 08:00:00,uk,inactive,2025-12-20
c00026,user26@example.com,2025-04-06T15:00:00+00:00,uk,banned,2025-12-20
c00027,user27@example.com,2025-04-21 11:00:00,IN,,2025-12-20
c00028,user28@example.com,2025-06-25 05:00:00,US,ACTIVE,2099-01-01
c00029,user29@example.com,2025-06-30 04:00:00,BR,,2025-12-20
c00030,user30@example.com,2025-10-05 21:00:00,,,2025-12-20
c00031,user31@example.com,2025-02-04 12:00:00,india,actve,2025-12-20
c00032,user32@example.com,2025-10-19 19:00:00,BR,,2025-12-20
c00033,user33@example.com,2025-03-03 22:00:00,GB,inactive,2025-12-20
c00033,user33@example.com,not a date,GB,inactive,2025-12-20
c00034,user34@example.com,2025-07-06 19:00:00,N/A,,2025-12-20
c00035,user35@example.com,2025-01-13 18:00:00,US,banned,2025-12-20
c00036,user36@example.com,2025-04-20T03:00:00+00:00,N/A,ACTIVE,2025-12-20
c00037,user37@example.com,2025-09-22 22:00:00,N/A,,2025-12-20
c00038,user38@example.com,2025-04-25T01:00:00+00:00,india,inactive,2099-01-01
