customer_id,email,created_at,country,status,ingest_date
c00000,user0@example.com,2025-09-10 21:00:00,usa,ACTIVE,2025-12-15
c00001,user1@example.com,2025-07-25T15:00:00+00:00,,banned,2025-12-15
c00001,user1@example.com,not a date,,banned,2025-12-15
c00002,user2example.com,2025-08-30T23:00:00+00:00,BR,inactive,2025-12-15
c00003,user3@example.com,2025-02-04 23:00:00,usa,,2025-12-15
c00004,user4@example.com,2025-07-29T09:00:00+00:00,BR,inactive,2025-12-15
c00005,user5@example.com,2025-03-02T19:00:00+00:00,N/A,inactive,2025-12-15
c00006,user6@example.com,2025-09-19 03:00:00,,actve,2025-12-15
c00007,user7@example.com,2025-10-21 10:00:00,GB,active,2099-01-01
c00008,user8@example.com,2025-01-22T05:00:00+00:00,,active,2025-12-15
c00009,user9@example.com,2025-05-28 16:00:00,IN,actve,2025-12-15
c00010,user10@example.com,2025-04-27 10:00:00,N/A,inactive,2025-12-15
c00011,user11@example.com,2025-09-19T08:00:00+00:00,US,inactive,2025-12-15
c00012,user12@example.com,2025-08-07T15:00:00+00:00,IN,banned,2025-12-15
c00013,user13@example.com,2025-02-28 08:00:00,United States,banned,2099-01-01
c00014,user14@example.com,2025-06-03T09:00:00+00:00,india,actve,2025-12-15
c00014,user14@example.com,not a date,india,actve,2025-12-15
c00015,user15@example.com,2025-09-05 21:00:00,uk,ACTIVE,2025-12-15
c00015,user15@example.com,not a date,uk,ACTIVE,2025-12-15
c00016,user16@example.com,2025-03-20T08:00:00+00:00,United States,,2025-12-15
c00017,user17@example.com,2025-01-24 18:00:00,US,actve,2025-12-15
c00018,user18@example.com,2025-10-24 15:00:00,,inactive,2025-12-15
c00019,user19@example.com,2025-03-07T19:00:00+00:00,usa,,2025-12-15
c00020,user20@example.com,2025-07-26 01:00:00,BR,,2025-12-15
c00021,user21@example.com,2025-06-18T23:00:00+00:00,IN,banned,2025-12-15
c00022,user22@example.com,2025-08-09 15:00:00,United States,,2025-12-15
c00023,user23@example.com,2025-01-24 20:00:00,india,active,2025-12-15
c00024,user24example.com,2025-07-03T23:00:00+00:00,,inactive,2025-12-15
c00025,user25@example.com,2025-09-28 05:00:00,BR,active,2099-01-01
c00026,user26@example.com,2025-09-24T09:00:00+00:00,india,actve,2025-12-15
c00027,user27@example.com,2025-05-25T21:00:00+00:00,US,banned,2025-12-15
c00028,user28@example.com,2025-01-26T02:00:00+00:00,GB,active,2099-01-01
c00029,user29@example.com,2025-09-15T19:00:00+00:00,,,2025-12-15
c00030,user30@example.com,2025-07-12T16:00:00+00:00,,active,2025-12-15
c00031,user31@example.com,2025-09-27 14:00:00,BR,ACTIVE,2025-12-15
c00032,user32@example.com,2025-04-07 22:00:00,N/A,actve,2025-12-15
c00033,user33@example.com,2025-03-05T14:00:00+00:00,,,2025-12-15
c00034,user34@example.com,2025-08-06 19:00:00,IN,,2025-12-15
c00035,user35@example.com,2025-01-03 07:00:00,india,actve,2025-12-15
c00036,user36@example.com,2025-06-19T18:00:00+00:00,,,2025-12-15
c00037,user37@example.com,2025-02-22 12:00:00,N/A,actve,2025-12-15
c00038,user38@example.com,2025-06-05T03:00:00+00:00,US,inactive,2025-12-15
c00039,user39@example.com,2025-07-25T18:00:00+00:00,US,,2025-12-15
c00040,user40@example.com,2025-06-20T23:00:00+00:00,BR,inactive,2025-12-15
c00041,user41@example.com,2025-10-27 13:00:00,usa,,2025-12-15
c00042,user42@example.com,2025-03-04 17:00:00,N/A,ACTIVE,2025-12-15
c00043,user43@example.com,2025-04-09 11:00:00,usa,banned,2099-01-01
