customer_id,email,created_at,country,status,ingest_date
c00000,user0@example.com,2025-05-06 13:00:00,uk,,2025-12-19
c00001,user1@example.com,2025-01-21 03:00:00,IN,,2025-12-19
c00002,user2@example.com,2025-10-19 10:00:00,United States,active,2025-12-19
c00003,user3@example.com,2025-07-05 14:00:00,US,actve,2025-12-19
c00004,user4@example.com,2025-01-23T11:00:00+00:00,GB,ACTIVE,2099-01-01
c00005,user5@example.com,2025-01-14T18:00:00+00:00,GB,active,2025-12-19
c00006,user6@example.com,2025-01-30 06:00:00,,,2025-12-19
c00007,user7@example.com,2025-08-22T16:00:00+00:00,usa,,2025-12-19
c00008,user8example.com,2025-07-24T12:00:00+00:00,india,inactive,2025-12-19
c00009,user9@example.com,2025-01-20 07:00:00,uk,actve,2025-12-19
c00010,user10@example.com,2025-03-19 18:00:00,GB,ACTIVE,2025-12-19
c00011,user11@example.com,2025-06-23 03:00:00,india,ACTIVE,2025-12-19
c00012,user12@example.com,2025-02-28T21:00:00+00:00,usa,,2099-01-01
c00013,user13@example.com,2025-06-01T05:00:00+00:00,BR,actve,2025-12-19
c00014,user14@example.com,2025-05-14 19:00:00,IN,active,2025-12-19
c00015,user15@example.com,2025-10-25T01:00:00+00:00,US,,2025-12-19
c00016,user16example.com,2025-01-03 08:00:00,,,2025-12-19
c00017,user17@example.com,2025-03-17 02:00:00,N/A,,2025-12-19
c00018,user18@example.com,2025-08-23 13:00:00,,active,2025-12-19
c00019,user19@example.com,2025-09-01T20:00:00+00:00,GB,,2025-12-19
c00020,user20@example.com,2025-10-24 03:00:00,N/A,inactive,2025-12-19
c00021,user21@example.com,2025-01-20 04:00:00,GB,actve,2025-12-19
c00022,user22@example.com,2025-01-05 17:00:00,BR,banned,2025-12-19
c00023,user23example.com,2025-03-09T21:00:00+00:00,US,,2025-12-19
c00024,user24@example.com,2025-04-20 14:00:00,uk,,2025-12-19
c00025,user25@example.com,2025-08-26T16:00:00+00:00,United States,,2025-12-19
c00026,user26@example.com,2025-01-05T13:00:00+00:00,US,banned,2025-12-19
c00027,user27@example.com,2025-01-17 17:00:00,usa,,2025-12-19
c00028,user28@example.com,2025-09-20 23:00:00,GB,actve,2099-01-01
c00029,user29@example.com,2025-05-10 23:00:00,US,actve,2025-12-19
c00030,user30example.com,2025-03-23 19:00:00,US,active,2025-12-19
c00031,user31@example.com,2025-10-19 05:00:00,N/A,inactive,2025-12-19
c00032,user32@example.com,2025-09-25T17:00:00+00:00,IN,actve,2025-12-19
c00033,user33@example.com,2025-08-17 17:00:00,BR,ACTIVE,2025-12-19
c00034,user34@example.com,2025-09-12T01:00:00+00:00,IN,,2025-12-19
c00035,user35@example.com,2025-01-07T02:00:00+00:00,BR,actve,2025-12-19
c00036,user36@example.com,2025-03-30 22:00:00,usa,ACTIVE,2025-12-19
c00037,user37@example.com,2025-06-25 04:00:00,GB,,2025-12-19
c00038,user38@example.com,2025-04-28T17:00:00+00:00,BR,,2025-12-19
c00039,user39example.com,2025-08-09 12:00:00,india,ACTIVE,2025-12-19
c00040,user40@example.com,2025-01-28 21:00:00,uk,ACTIVE,2025-12-19
c00041,user41@example.com,2025-08-26 02:00:00,,active,2025-12-19
c00042,user42@example.com,2025-03-09 01:00:00,US,banned,2025-12-19
c00043,user43@example.com,2025-06-29 14:00:00,United States,active,2025-12-19
c00044,user44example.com,2025-06-29T15:00:00+00:00,IN,inactive,2025-12-19
c00045,user45@example.com,2025-08-20 00:00:00,GB,inactive,2025-12-19
c00045,user45@example.com,not a date,GB,inactive,2025-12-19
c00046,user46@example.com,2025-03-20 23:00:00,United States,inactive,2099-01-01
c00047,user47example.com,2025-07-08T04:00:00+00:00,usa,,2025-12-19
c00048,user48@example.com,2025-01-12T21:00:00+00:00,United States,,2025-12-19
c00049,user49@example.com,2025-04-16 23:00:00,uk,,2025-12-19
c00050,user50@example.com,2025-06-25T05:00:00+00:00,GB,banned,2025-12-19
c00051,user51@example.com,2025-04-22 02:00:00,india,banned,2025-12-19
c00052,user52@example.com,2025-06-17 16:00:00,N/A,,2025-12-19
c00053,user53@example.com,2025-07-19T08:00:00+00:00,uk,banned,2025-12-19
c00054,user54example.com,2025-07-26 11:00:00,india,actve,2025-12-19
c00055,user55@example.com,2025-07-01T13:00:00+00:00,GB,inactive,2099-01-01
c00056,user56@example.com,2025-03-07 16:00:00,IN,,2099-01-01
c00057,user57@example.com,2025-07-06 10:00:00,BR,,2025-12-19
c00058,user58@example.com,2025-03-26 20:00:00,,,2025-12-19
c00059,user59@example.com,2025-02-28 10:00:00,GB,actve,2025-12-19
c00060,user60@example.com,2025-03-12T10:00:00+00:00,GB,active,2025-12-19
c00061,user61@example.com,2025-03-18 16:00:00,GB,active,2025-12-19
c00062,user62@example.com,2025-06-17 11:00:00,GB,actve,2025-12-19
c00063,user63@example.com,2025-05-31 10:00:00,BR,active,2025-12-19
c00064,user64@example.com,2025-09-19 23:00:00,US,,2025-12-19
c00065,user65@example.com,2025-04-21 23:00:00,,inactive,2099-01-01
c00066,user66@example.com,2025-06-29 05:00:00,,,2025-12-19
c00067,user67@example.com,2025-04-06 10:00:00,BR,actve,2025-12-19
c00068,user68@example.com,2025-10-20T05:00:00+00:00,usa,actve,2025-12-19
c00069,user69@example.com,2025-03-15T09:00:00+00:00,usa,banned,2099-01-01
c00070,user70@example.com,2025-05-05 09:00:00,,inactive,2025-12-19
c00071,user71@example.com,2025-07-14T22:00:00+00:00,india,,2025-12-19
c00072,user72@example.com,2025-07-06T15:00:00+00:00,BR,inactive,2099-01-01
c00073,user73@example.com,2025-04-28 08:00:00,,inactive,2099-01-01
c00074,user74@example.com,2025-04-22 10:00:00,BR,ACTIVE,2025-12-19
c00075,user75@example.com,2025-05-05 18:00:00,N/A,active,2025-12-19
c00076,user76@example.com,2025-01-29 22:00:00,GB,active,2025-12-19
c00077,user77@example.com,2025-02-06 08:00:00,N/A,ACTIVE,2025-12-19
